station_id,time,PM25_AQI_value,PM10_AQI_value,NO2_AQI_value,temperature,pressure,humidity,wind,weather
2003,8/26/2013 12:12:00 AM,62,20,7,27,1008,89,0,4
2003,8/26/2013 1:12:00 AM,62,20,7,26,1007,88,0,4
2003,8/26/2013 2:12:00 AM,67,23,7,26,1007,88,2,4
2003,8/26/2013 3:12:00 AM,70,26,6,27,1007,88,0,4
2003,8/26/2013 4:12:00 AM,75,31,8,27,1007,88,1,4
2003,8/26/2013 5:12:00 AM,84,27,11,26,1007,89,0,4
2003,8/26/2013 6:12:00 AM,78,27,10,26,1007,87,0,4
2003,8/26/2013 7:12:00 AM,64,27,8,26,1008,82,0,4
2003,8/26/2013 8:12:00 AM,50,27,10,26,1008,77,0,4
2003,8/26/2013 9:12:00 AM,51,24,14,26,1008,80,1,4
2003,8/26/2013 10:11:00 AM,59,47,12,26,1009,82,2,4
2003,8/26/2013 11:11:00 AM,56,31,11,27,1009,77,1,4
2003,8/26/2013 12:11:00 PM,51,16,11,27,1009,81,1,4
2003,8/26/2013 1:11:00 PM,60,22,7,28,1008,77,3,4
2003,8/26/2013 2:11:00 PM,72,49,8,28,1008,77,5,4
2003,8/26/2013 3:12:00 PM,72,49,8,28,1008,77,5,4
2003,8/26/2013 4:11:00 PM,98,38,9,28,1007,61,3,4
2003,8/26/2013 5:11:00 PM,85,33,10,28,1008,60,5,4
2003,8/26/2013 6:11:00 PM,83,55,13,28,1008,71,2,3
2003,8/26/2013 7:20:00 PM,101,39,12,27,1008,72,1,3
2003,8/26/2013 8:11:00 PM,98,57,18,27,1008,77,1,3
2003,8/26/2013 9:12:00 PM,106,55,15,27,1009,78,1,3
2003,8/26/2013 10:11:00 PM,105,45,20,26,1009,77,0,3
2003,8/26/2013 11:11:00 PM,94,55,17,26,1009,76,2,3
2003,8/27/2013 12:11:00 AM,96,47,19,26,1009,78,2,3
2003,8/27/2013 1:11:00 AM,95,38,21,26,1009,78,0,3
2003,8/27/2013 2:11:00 AM,87,40,20,26,1009,79,0,3
2003,8/27/2013 3:11:00 AM,101,43,16,26,1008,80,3,3
2003,8/27/2013 4:11:00 AM,99,43,14,26,1009,80,1,3
2003,8/27/2013 5:11:00 AM,100,41,13,26,1009,81,0,3
2003,8/27/2013 6:11:00 AM,94,44,18,26,1009,81,1,3
2003,8/27/2013 7:11:00 AM,109,41,15,26,1010,82,0,3
2003,8/27/2013 8:11:00 AM,111,59,17,27,1010,79,8,4
2003,8/27/2013 9:11:00 AM,103,38,7,27,1010,75,0,4
2003,8/27/2013 10:11:00 AM,95,34,6,28,1010,73,1,4
2003,8/27/2013 11:11:00 AM,90,35,6,29,1011,72,2,4
2003,8/27/2013 12:11:00 PM,89,31,6,29,1010,71,0,1
2003,8/27/2013 1:11:00 PM,87,34,6,29,1010,74,0,1
2003,8/27/2013 2:11:00 PM,85,34,6,29,1010,72,0,1
2003,8/27/2013 3:11:00 PM,85,34,6,29,1010,72,0,1
2003,8/27/2013 4:11:00 PM,98,38,9,28,1007,61,3,4
2003,8/27/2013 5:11:00 PM,85,33,10,28,1008,60,5,4
2003,8/27/2013 6:11:00 PM,83,55,13,28,1008,71,2,3
2003,8/27/2013 7:30:00 PM,67,41,9,29,1009,76,0,1
2003,8/27/2013 8:11:00 PM,77,42,11,28,1009,81,0,1
2003,8/27/2013 9:11:00 PM,77,39,12,27,1009,82,0,1
2003,8/27/2013 10:11:00 PM,89,44,15,27,1010,82,1,1
2003,8/27/2013 11:12:00 PM,80,26,12,27,1009,84,2,1
2003,8/28/2013 12:11:00 AM,68,24,11,27,1009,84,8,1
2003,8/28/2013 1:11:00 AM,63,21,10,27,1009,85,0,1
2003,8/28/2013 2:11:00 AM,58,19,11,27,1009,85,0,1
2003,8/28/2013 3:11:00 AM,55,19,8,27,1008,85,4,1
2003,8/28/2013 4:11:00 AM,62,25,6,27,1008,85,3,1
2003,8/28/2013 5:11:00 AM,61,27,7,27,1008,86,5,1
2003,8/28/2013 6:11:00 AM,66,30,8,27,1008,88,4,1
2003,8/28/2013 7:11:00 AM,64,39,9,27,1008,89,4,1
2003,8/28/2013 8:12:00 AM,80,48,9,27,1008,88,5,1
2003,8/28/2013 9:11:00 AM,86,41,8,28,1008,87,2,1
2003,8/28/2013 10:11:00 AM,95,32,10,29,1008,82,2,1
2003,8/28/2013 11:11:00 AM,91,32,8,30,1008,78,0,1
2003,8/28/2013 12:11:00 PM,77,26,6,32,1007,71,1,1
2003,8/28/2013 1:11:00 PM,84,28,5,32,1007,69,4,1
2003,8/28/2013 2:11:00 PM,91,32,5,33,1006,66,0,1
2003,8/28/2013 3:11:00 PM,104,41,5,33,1005,67,0,1
2003,8/28/2013 4:11:00 PM,100,36,5,33,1005,66,2,1
2003,8/28/2013 5:12:00 PM,109,41,7,33,1005,65,0,1
2003,8/28/2013 6:11:00 PM,91,41,8,33,1005,65,2,1
2003,8/28/2013 7:11:00 PM,83,51,8,32,1005,69,1,1
2003,8/28/2013 8:11:00 PM,70,39,8,30,1005,74,0,1
2003,8/28/2013 9:12:00 PM,61,20,7,30,1006,76,0,1
2003,8/28/2013 10:11:00 PM,50,16,7,29,1006,78,4,1
2003,8/28/2013 11:11:00 PM,32,29,7,29,1005,80,0,1
2003,8/29/2013 12:12:00 AM,26,16,7,29,1005,81,0,1
2003,8/29/2013 1:11:00 AM,15,36,6,29,1005,84,0,1
2003,8/29/2013 2:11:00 AM,43,24,6,29,1005,82,0,1
2003,8/29/2013 3:11:00 AM,32,10,7,29,1005,83,0,1
2003,8/29/2013 4:11:00 AM,31,10,7,29,1004,83,0,1
2003,8/29/2013 5:11:00 AM,15,14,8,28,1004,83,0,1
2003,8/29/2013 6:11:00 AM,39,16,8,28,1004,83,1,1
2003,8/29/2013 7:11:00 AM,18,20,8,28,1004,83,0,1
2003,8/29/2013 8:11:00 AM,40,36,8,29,1004,79,1,4
2003,8/29/2013 9:11:00 AM,40,22,7,30,1004,75,0,4
2003,8/29/2013 10:11:00 AM,47,39,9,32,1004,69,2,4
2003,8/29/2013 11:11:00 AM,35,27,9,33,1004,67,0,4
2003,8/29/2013 12:11:00 PM,77,26,6,32,1007,71,1,1
2003,8/29/2013 1:11:00 PM,84,28,5,32,1007,69,4,1
2003,8/29/2013 2:11:00 PM,91,32,5,33,1006,66,0,1
2003,8/29/2013 3:11:00 PM,104,41,5,33,1005,67,0,1
2003,8/29/2013 4:11:00 PM,100,36,5,33,1005,66,2,1
2003,8/29/2013 5:12:00 PM,107,61,8,31,1002,62,3,1
2003,8/29/2013 6:12:00 PM,94,33,20,28,1002,86,0,1
2003,8/29/2013 7:11:00 PM,93,67,23,28,1004,83,0,1
2003,8/29/2013 8:11:00 PM,123,109,37,29,1003,80,0,1
2003,8/29/2013 9:12:00 PM,127,81,38,29,1004,82,0,1
2003,8/29/2013 10:12:00 PM,129,74,21,30,1004,84,2,1
2003,8/29/2013 11:12:00 PM,77,30,11,30,1004,82,1,1
2003,8/30/2013 12:11:00 AM,70,23,11,29,1004,82,2,1
2003,8/30/2013 1:11:00 AM,58,34,11,29,1004,83,0,1
2003,8/30/2013 2:12:00 AM,51,41,11,29,1004,85,0,1
2003,8/30/2013 3:11:00 AM,56,42,12,29,1004,85,0,1
2003,8/30/2013 4:11:00 AM,46,43,10,29,1004,86,0,1
2003,8/30/2013 5:12:00 AM,55,27,9,29,1003,86,0,1
2003,8/30/2013 6:12:00 AM,44,29,13,29,1003,87,0,1
2003,8/30/2013 7:11:00 AM,52,51,13,28,1004,86,0,1
2003,8/30/2013 8:11:00 AM,92,68,15,28,1005,84,1,1
2003,8/30/2013 9:11:00 AM,120,68,12,29,1005,72,8,1
2003,8/30/2013 10:11:00 AM,117,63,8,29,1005,76,0,1
2003,8/30/2013 11:11:00 AM,121,78,6,30,1005,75,0,1
2003,8/30/2013 12:11:00 PM,144,58,6,30,1006,73,9,1
2003,8/30/2013 1:11:00 PM,151,67,6,31,1005,68,0,1
2003,8/30/2013 2:11:00 PM,153,61,4,31,1005,68,3,1
2003,8/30/2013 3:11:00 PM,145,72,5,31,1005,67,7,1
2003,8/30/2013 4:12:00 PM,149,62,5,31,1005,70,0,1
2003,8/30/2013 5:11:00 PM,147,58,5,30,1005,71,0,1
2003,8/30/2013 6:11:00 PM,130,69,5,29,1006,73,0,1
2003,8/30/2013 7:11:00 PM,146,81,7,28,1006,78,4,1
2003,8/30/2013 8:11:00 PM,159,64,5,27,1007,80,3,1
2003,8/30/2013 9:11:00 PM,153,61,6,27,1008,79,7,1
2003,8/30/2013 10:11:00 PM,142,56,4,26,1009,76,3,1
2003,8/30/2013 11:11:00 PM,99,35,4,26,1009,75,2,1
2003,8/31/2013 12:12:00 AM,83,31,4,26,1009,73,8,1
2003,8/31/2013 1:11:00 AM,67,25,3,26,1009,72,8,1
2003,8/31/2013 2:11:00 AM,56,21,3,25,1009,74,4,1
2003,8/31/2013 3:11:00 AM,48,25,3,25,1010,74,7,1
2003,8/31/2013 4:12:00 AM,50,29,3,25,1010,74,1,1
2003,8/31/2013 5:11:00 AM,55,30,3,25,1010,74,1,1
2003,8/31/2013 6:11:00 AM,50,30,4,25,1010,74,2,1
2003,8/31/2013 7:12:00 AM,52,34,6,25,1010,74,1,1
2003,8/31/2013 8:11:00 AM,54,43,7,25,1011,74,6,1
2003,8/31/2013 9:11:00 AM,54,43,8,25,1012,72,0,1
2003,8/31/2013 10:11:00 AM,50,40,7,26,1012,69,3,1
2003,8/31/2013 11:12:00 AM,58,42,7,27,1012,66,2,1
2003,8/31/2013 12:11:00 PM,55,34,7,27,1012,63,0,1
2003,8/31/2013 1:11:00 PM,70,46,6,27,1012,62,5,1
2003,8/31/2013 2:12:00 PM,64,38,5,28,1012,60,2,1
2003,8/31/2013 3:12:00 PM,40,18,5,28,1012,50,2,1
2003,8/31/2013 4:12:00 PM,49,37,4,28,1012,52,0,1
2003,8/31/2013 5:12:00 PM,45,49,5,27,1012,56,5,1
2003,8/31/2013 6:11:00 PM,50,35,6,27,1013,57,2,1
2003,8/31/2013 7:11:00 PM,48,35,7,26,1013,54,1,1
2003,8/31/2013 8:12:00 PM,59,28,7,25,1013,59,0,1
2003,8/31/2013 9:11:00 PM,47,31,7,25,1013,60,1,1
2003,8/31/2013 10:11:00 PM,43,30,7,24,1013,61,1,1
